website,stars
https://github.com/knightliao/disconf,3285
https://github.com/antlr/antlr4,3285
https://github.com/airbnb/epoxy,3284
https://github.com/orientechnologies/orientdb,3279
https://github.com/google/error-prone,3278
https://github.com/JodaOrg/joda-time,3278
https://github.com/alibaba/jstorm,3274
https://github.com/zaproxy/zaproxy,3273
https://github.com/NanoHttpd/nanohttpd,3272
https://github.com/saiwu-bigkoo/Android-ConvenientBanner,3267
https://github.com/Alluxio/alluxio,3258
https://github.com/mcxiaoke/packer-ng-plugin,3224
https://github.com/KeepSafe/TapTargetView,3223
https://github.com/grantland/android-autofittextview,3211
https://github.com/actorapp/actor-platform,3198
https://github.com/lightbend/config,3198
https://github.com/Yalantis/Context-Menu.Android,3195
https://github.com/react-community/react-native-image-picker,3186
https://github.com/hongyangAndroid/FlowLayout,3183
https://github.com/Ramotion/folding-cell-android,3182
https://github.com/baoyongzhang/SwipeMenuListView,3175
https://github.com/bauerca/drag-sort-listview,3169
https://github.com/pagehelper/Mybatis-PageHelper,3153
https://github.com/xuxueli/xxl-job,3151
https://github.com/yanzhenjie/NoHttp,3150
https://github.com/HotBitmapGG/bilibili-android-client,3148
https://github.com/avast/android-butterknife-zelezny,3142
https://github.com/johncarl81/parceler,3141
https://github.com/yarolegovich/DiscreteScrollView,3139
https://github.com/rengwuxian/RxJavaSamples,3113
https://github.com/bingoogolapple/BGAQRCode-Android,3107
https://github.com/timehop/sticky-headers-recyclerview,3097
https://github.com/dropbox/hackpad,3089
https://github.com/yangfuhai/afinal,3085
https://github.com/apache/rocketmq,3081
https://github.com/real-logic/aeron,3079
https://github.com/firebase/quickstart-android,3059
https://github.com/rockerhieu/emojicon,3058
https://github.com/udacity/Sunshine-Version-2,3054
https://github.com/ivacf/archi,3052
https://github.com/bluelinelabs/LoganSquare,3051
https://github.com/apache/flink,3045
https://github.com/stephanenicolas/robospice,3045
https://github.com/alibaba/UltraViewPager,3042
https://github.com/asLody/VirtualApp,3042
https://github.com/Atmosphere/atmosphere,3041
https://github.com/keyboardsurfer/Crouton,3037
https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector,3035
https://github.com/wdullaer/MaterialDateTimePicker,3032
https://github.com/MindorksOpenSource/android-interview-questions,3032
https://github.com/NLPchina/elasticsearch-sql,3029
https://github.com/elasticjob/elastic-job,3024
https://github.com/wasabeef/Blurry,3020
https://github.com/twitter/heron,3012
https://github.com/xcc3641/SeeWeather,3009
https://github.com/ctripcorp/apollo,3008
https://github.com/JetBrains/ideavim,3008
https://github.com/tangqi92/Android-Tips,3006
https://github.com/tyrantgit/ExplosionField,3002
https://github.com/pili-engineering/PLDroidPlayer,2982
https://github.com/pengjianbo/GalleryFinal,2982
https://github.com/kikoso/android-stackblur,2980
https://github.com/gzu-liyujiang/AndroidPicker,2969
https://github.com/rubensousa/RecyclerViewSnap,2962
https://github.com/ryanhoo/StylishMusicPlayer,2959
https://github.com/dinuscxj/LoadingDrawable,2958
https://github.com/nicolasgramlich/AndEngine,2943
https://github.com/ArthurHub/Android-Image-Cropper,2932
https://github.com/zetbaitsu/Compressor,2923
https://github.com/alibaba/DataX,2916
https://github.com/jgilfelt/android-viewbadger,2915
https://github.com/ChadCSong/ShineButton,2908
https://github.com/yanzhenjie/AndPermission,2907
https://github.com/hibernate/hibernate-orm,2902
https://github.com/yahoo/anthelion,2900
https://github.com/Activiti/Activiti,2898
https://github.com/ManuelPeinado/FadingActionBar,2896
https://github.com/jankotek/mapdb,2894
https://github.com/saulmm/Android-Material-Examples,2892
https://github.com/puniverse/quasar,2890
https://github.com/baoyachi/StepView,2887
https://github.com/MindorksOpenSource/from-java-to-kotlin,2887
https://github.com/lcodecorex/TwinklingRefreshLayout,2885
https://github.com/careercup/CtCI-6th-Edition,2882
https://github.com/Karumi/Dexter,2870
https://github.com/jgilfelt/chuck,2863
https://github.com/Tencent/angel,2858
https://github.com/race604/FlyRefresh,2848
https://github.com/OpenTSDB/opentsdb,2838
https://github.com/yigit/android-priority-jobqueue,2838
https://github.com/litesuits/android-common,2826
https://github.com/rubensousa/ViewPagerCards,2826
https://github.com/robinhood/ticker,2817
https://github.com/gabrielemariotti/RecyclerViewItemAnimators,2814
https://github.com/hugeterry/CoordinatorTabLayout,2814
https://github.com/daimajia/AndroidViewHover,2798
https://github.com/yangfuhai/ASimpleCache,2795
https://github.com/LuckSiege/PictureSelector,2784
https://github.com/jasonross/Nuwa,2782
